to from m
76 75 0.001
76 77 0.001
76 86 0.001
77 67 0.001
77 76 0.001
77 78 0.001
77 87 0.001
78 68 0.25
78 77 0.01
78 79 0.001
78 88 0.001
79 69 0.25
79 78 0.001
79 80 0.01
79 89 0.001
80 70 0.01
80 79 0.001
80 90 0.001
81 71 0.001
81 82 0.001
81 91 0.1
82 72 0.01
82 81 0.001
82 83 0.001
82 92 0.01
83 73 0.01
83 82 0.25
83 84 0.25
83 93 0.001
84 74 0.001
84 83 0.001
84 85 0.001
84 94 0.001
85 75 0.01
85 84 0.001
85 86 0.001
85 95 0.1
86 76 0.001
86 85 0.001
86 87 0.001
86 96 0.001
87 77 0.001
87 86 0.001
87 88 0.01
87 97 0.001
88 78 0.001
88 87 0.01
88 89 0.001
88 98 0.001
89 79 0.01
89 88 0.001
89 90 0.01
89 99 0.001
90 80 0.001
90 89 0.001
90 100 0.001
91 81 0.001
91 92 0.001
92 82 0.01
92 91 0.25
92 93 0.01
93 83 0.001
93 92 0.001
93 94 0.001
94 84 0.01
94 93 0.1
94 95 0.25
95 85 0.001
95 94 0.25
95 96 0.1
96 86 0.001
96 95 0.001
96 97 0.001
97 87 0.001
97 96 0.001
97 98 0.001
98 88 0.001
98 97 0.001
98 99 0.01
99 89 0.001
99 98 0.01
99 100 0.01
100 90 0.25
100 99 0.001
